,Time,Cronos Market Cap
690,1646092800000,11086188942.003002
691,1646179200000,11085976293.853863
692,1646265600000,11298778806.869139
693,1646352000000,10887680359.974482
694,1646438400000,10035308810.679422
695,1646524800000,10345981817.026655
696,1646611200000,9932611819.748186
697,1646697600000,9545425838.051859
698,1646784000000,9780301125.709604
699,1646870400000,10323995916.033052
700,1646956800000,9847237879.356937
701,1647043200000,9684309068.46402
702,1647129600000,9829083441.730524
703,1647216000000,9532717925.855703
704,1647302400000,9555516575.87608
705,1647388800000,9733761095.912506
706,1647475200000,10260445626.79451
707,1647561600000,10139854218.021599
708,1647648000000,10265529513.207788
709,1647734400000,10540957690.848803
710,1647820800000,10248961229.10707
711,1647907200000,10237205055.938086
712,1647993600000,10562902485.636461
713,1648080000000,10949171965.048347
714,1648166400000,11347175983.913937
715,1648252800000,11507049523.052496
716,1648339200000,11565406203.320066
717,1648425600000,12209194763.131393
718,1648512000000,12141192567.827976
719,1648598400000,12131231042.213366
720,1648684800000,12008201706.264904
721,1648771200000,11597338446.39931
722,1648857600000,12135127819.708933
723,1648944000000,12132098370.369732
724,1649030400000,12099070086.578382
725,1649116800000,12218683764.229662
726,1649203200000,11959513194.115957
727,1649289600000,11160328885.817478
728,1649376000000,11359620303.856495
729,1649462400000,11008076856.560404
730,1649521006000,11041705779.602085
