,Time,Ethereum Market Cap
644,1642118400000,388039946028.0792
645,1642204800000,394664610644.99524
646,1642291200000,396899234936.6389
647,1642377600000,400232172277.67896
648,1642464000000,383428420242.12994
649,1642550400000,377918294939.4783
650,1642636800000,371296193085.12195
651,1642723200000,360580494818.73
652,1642809600000,306644499897.7337
653,1642896000000,286799916366.57184
654,1642982400000,302626363351.5348
655,1643068800000,292022326101.0083
656,1643155200000,293702336549.67474
657,1643241600000,295723346868.75024
658,1643328000000,287829476402.6202
659,1643414400000,304305302571.33734
660,1643500800000,310059710546.2545
661,1643587200000,311602914058.75037
662,1643673600000,320354563857.1168
663,1643760000000,334032944115.64844
664,1643846400000,321296521004.9529
665,1643932800000,317503695895.34064
666,1644019200000,354558118293.0548
667,1644105600000,361600442694.43896
668,1644192000000,366038313761.43805
669,1644278400000,376351043607.997
670,1644364800000,374043919421.316
671,1644451200000,387321193246.79065
672,1644537600000,368377710139.77985
673,1644624000000,350133590835.08734
674,1644710400000,347517755313.83966
675,1644796800000,345252969326.4971
676,1644883200000,351368910987.00305
677,1644969600000,381791121976.2447
678,1645056000000,376071884044.5087
679,1645142400000,345252572787.0988
680,1645228800000,333997569707.84204
681,1645315200000,330814655802.00714
682,1645401600000,315015971538.73315
683,1645488000000,308836894427.69006
684,1645574400000,317004525462.3889
685,1645660800000,310997586955.65283
686,1645747200000,311533514951.14
687,1645833600000,333625150661.6757
688,1645920000000,332645349329.944
689,1646006400000,314566178973.5596
690,1646092800000,349056335389.1799
691,1646179200000,355855644056.71844
692,1646265600000,353807222059.12616
693,1646352000000,340585349633.38696
694,1646438400000,314336377085.58026
695,1646524800000,319334318240.9434
696,1646611200000,306675297178.70435
697,1646697600000,299834957580.4126
698,1646784000000,309291567872.3395
699,1646870400000,327144318378.6509
700,1646956800000,313054369877.37134
701,1647043200000,307992205234.7309
702,1647129600000,309539252974.5316
703,1647216000000,302103577555.32056
704,1647302400000,310467033555.37006
705,1647388800000,314931220494.93384
706,1647475200000,333204590005.1927
707,1647561600000,338097336083.8262
708,1647648000000,353539105454.5327
709,1647734400000,353770129278.67426
710,1647820800000,343170506313.24133
711,1647907200000,347666776668.2674
712,1647993600000,356813271188.88025
713,1648080000000,363715804798.513
714,1648166400000,373177111114.7027
715,1648252800000,373074920726.7511
716,1648339200000,377825418684.3759
717,1648425600000,394486853105.0086
718,1648512000000,399977979554.21063
719,1648598400000,408153998267.8274
720,1648684800000,407460530687.7479
721,1648771200000,394628513775.2061
722,1648857600000,414854897478.46454
723,1648944000000,413595262456.1556
724,1649030400000,423410516389.8548
725,1649116800000,423367935034.98956
726,1649203200000,412944890807.9602
727,1649289600000,382808702033.7895
728,1649376000000,388867320187.2107
729,1649462400000,382662893229.3914
730,1649523113000,388036041297.16473
